hour,minute,second
arrivals
12,7,49
12,8,7
12,8,30
12,8,34
12,8,45
12,10,11
12,10,20
12,10,22
12,10,43
12,11,7
12,11,16
12,11,20
12,11,38
12,11,58
12,13,5
12,13,6
12,13,33
12,13,36
12,13,45
12,13,47
12,13,53
12,14,22
12,15,58
12,16,0
12,16,2
12,16,3
12,16,4
12,16,34
12,19,47
12,19,49
12,20,39
12,20,39
12,20,39
12,20,40
12,20,43
12,20,48
12,20,51
12,20,53
12,21,2
12,21,3
12,21,3
12,21,4
12,21,4
12,21,5
12,21,5
12,21,58
12,22,9
departures
12,9,53
12,10,7
12,10,26
12,10,55
12,11,2
12,11,6
12,11,31
12,11,44
12,12,5
12,13,16
12,14,1
12,14,15
12,14,43
12,14,59
12,15,13
12,15,53
12,16,23
12,16,55
12,16,56
12,17,13
12,17,40
12,17,41
12,17,59
12,18,17
12,18,26
12,18,52
12,19,36
12,19,39
12,20,7
12,20,41
12,20,55
12,20,58
12,21,28
12,21,36
12,21,44
12,21,55
12,22,6
12,22,16
12,22,23
12,22,37
